Name,TaxID,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
Acetivibrio thermocellus,1515,cellular organisms;Bacillota;Clostridia;Acetivibrionales;Acetivibrionaceae;Acetivibrio,107,0.01,0.05
Acidobacteria bacterium Mor1,1660251,cellular organisms;Acidobacteriota;;;;,2,0.00,0.00
Aciduliprofundum sp. MAR08-339,673860,cellular organisms;Thermoplasmatota;;;;Candidatus Aciduliprofundum,15,0.00,0.01
Acinetobacter venetianus,52133,cellular organisms;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter,110,0.01,0.05
Actibacterium sp. EMB200-NS6,1609966,cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Actibacterium,122,0.01,0.06
Actinoalloteichus fjordicus,1612552,cellular organisms;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Actinoalloteichus,92,0.01,0.04
Actinoalloteichus hymeniacidonis,340345,cellular organisms;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Actinoalloteichus,6,0.00,0.00
Actinoalloteichus sp. GBA129-24,1612551,cellular organisms;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Actinoalloteichus,84,0.01,0.04
Aeromonas salmonicida,645,cellular organisms;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas,503,0.03,0.23
Aeropyrum camini,229980,cellular organisms;Thermoproteota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum,4,0.00,0.00
Aeropyrum pernix,56636,cellular organisms;Thermoproteota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum,1,0.00,0.00
Agarivorans gilvus,680279,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Agarivorans,75,0.00,0.03
Agrococcus jejuensis,399736,cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Agrococcus,3,0.00,0.00
Alcanivorax borkumensis,59754,cellular organisms;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Alcanivorax,8,0.00,0.00
Aliivibrio fischeri,668,cellular organisms;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Aliivibrio,563,0.03,0.26
Aliivibrio salmonicida,40269,cellular organisms;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Aliivibrio,2283,0.14,1.06
Aliivibrio wodanis,80852,cellular organisms;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Aliivibrio,1200,0.07,0.56
Alloalcanivorax dieselolei,285091,cellular organisms;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Alloalcanivorax,11,0.00,0.01
Altererythrobacter epoxidivorans,361183,cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Altererythrobacter,11,0.00,0.01
Altererythrobacter ishigakiensis,476157,cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Altererythrobacter,2,0.00,0.00
Alteromonas australica,589873,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,144,0.01,0.07
Alteromonas macleodii,28108,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,4350,0.27,2.02
Alteromonas mediterranea,314275,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,47292,2.92,21.98
Alteromonas naphthalenivorans,715451,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,95,0.01,0.04
Alteromonas sp. Mex14,1917157,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,137,0.01,0.06
Alteromonas sp. RW2A1,1917158,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,614,0.04,0.29
Alteromonas stellipolaris,233316,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,1449,0.09,0.67
Aquibium oceanicum,1670800,cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Aquibium,92,0.01,0.04
Arcanobacterium phocae,131112,cellular organisms;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Arcanobacterium,1,0.00,0.00
Archaeoglobus fulgidus,2234,cellular organisms;Methanobacteriota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus,664,0.04,0.31
Arthrobacter sp. PAMC 25486,1494608,cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Arthrobacter,7,0.00,0.00
Aurantiacibacter atlanticus,1648404,cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Aurantiacibacter,3,0.00,0.00
Aurantiacibacter gangjinensis,502682,cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Aurantiacibacter,40,0.00,0.02
Bacillus infantis,324767,cellular organisms;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus,375,0.02,0.17
Bacillus safensis,561879,cellular organisms;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus,216,0.01,0.10
Bacillus sp. Pc3,1446792,cellular organisms;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus,2,0.00,0.00
Bacillus velezensis,492670,cellular organisms;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus,9,0.00,0.00
Bacillus weihaiensis,1547283,cellular organisms;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus,12,0.00,0.01
