Name,Count (cami2_sample0_abundance),Count (cami2_marine_sample0_abundance_jn05),Count (diff),Proportion_All(%) (cami2_sample0_abundance),Proportion_All(%) (cami2_marine_sample0_abundance_jn05),Proportion_All(%) (diff),Proportion_Classified(%) (cami2_sample0_abundance),Proportion_Classified(%) (cami2_marine_sample0_abundance_jn05),Proportion_Classified(%) (diff)
Acetivibrio thermocellus,112,111,-1,0.00680929,0.01,+0.00319071,0.061578,0.06,-0.001578
Acidobacteria bacterium Mor1,8,8,+0,0.000486378,0,-0.000486378,0.00439843,0,-0.00439843
Aciduliprofundum sp. MAR08-339,19,19,+0,0.00115515,0,-0.00115515,0.0104463,0.01,-0.0004463
Acinetobacter venetianus,49,48,-1,0.00297907,0,-0.00297907,0.0269404,0.03,+0.0030596
Actibacterium sp. EMB200-NS6,279,276,-3,0.0169624,0.02,+0.0030376,0.153395,0.15,-0.003395
Actinoalloteichus fjordicus,13,14,+1,0.000790364,0,-0.000790364,0.00714745,0.01,+0.00285255
Actinoalloteichus hymeniacidonis,6,4,-2,0.000364784,0,-0.000364784,0.00329882,0,-0.00329882
Actinoalloteichus sp. GBA129-24,12,9,-3,0.000729567,0,-0.000729567,0.00659765,0,-0.00659765
Aeromonas salmonicida,1039,1039,+0,0.0631684,0.06,-0.0031684,0.571246,0.57,-0.001246
Aeropyrum camini,8,8,+0,0.000486378,0,-0.000486378,0.00439843,0,-0.00439843
Aeropyrum pernix,5,5,+0,0.000303986,0,-0.000303986,0.00274902,0,-0.00274902
Agarivorans gilvus,76,75,-1,0.00462059,0,-0.00462059,0.0417851,0.04,-0.0017851
Agrococcus jejuensis,39,39,+0,0.00237109,0,-0.00237109,0.0214424,0.02,-0.0014424
Alcanivorax borkumensis,4,3,-1,0.000243189,0,-0.000243189,0.00219922,0,-0.00219922
Aliivibrio fischeri,666,602,-64,0.040491,0.04,-0.000491,0.366169,0.33,-0.036169
Aliivibrio salmonicida,2305,2296,-9,0.140138,0.14,-0.000138,1.2673,1.26,-0.0073
Aliivibrio wodanis,2228,2278,+50,0.135456,0.14,+0.004544,1.22496,1.25,+0.02504
Alloalcanivorax dieselolei,5,4,-1,0.000303986,0,-0.000303986,0.00274902,0,-0.00274902
Altererythrobacter epoxidivorans,7,12,+5,0.000425581,0,-0.000425581,0.00384863,0.01,+0.00615137
Altererythrobacter ishigakiensis,8,3,-5,0.000486378,0,-0.000486378,0.00439843,0,-0.00439843
Alteromonas australica,104,81,-23,0.00632291,0,-0.00632291,0.0571796,0.04,-0.0171796
Alteromonas macleodii,3321,3155,-166,0.201908,0.19,-0.011908,1.8259,1.73,-0.0959
Alteromonas mediterranea,21776,22048,+272,1.32392,1.34,+0.01608,11.9725,12.12,+0.1475
Alteromonas naphthalenivorans,52,43,-9,0.00316146,0,-0.00316146,0.0285898,0.02,-0.0085898
Alteromonas sp. Mex14,119,83,-36,0.00723487,0.01,+0.00276513,0.0654267,0.05,-0.0154267
Alteromonas sp. RW2A1,407,385,-22,0.0247445,0.02,-0.0047445,0.22377,0.21,-0.01377
Alteromonas stellipolaris,432,471,+39,0.0262644,0.03,+0.0037356,0.237515,0.26,+0.022485
Aquibium oceanicum,70,74,+4,0.00425581,0,-0.00425581,0.0384863,0.04,+0.0015137
Arcanobacterium phocae,28,24,-4,0.00170232,0,-0.00170232,0.0153945,0.01,-0.0053945
Archaeoglobus fulgidus,937,939,+2,0.056967,0.06,+0.003033,0.515166,0.52,+0.004834
Archaeoglobus profundus,1,1,+0,6.07973e-05,0,-6.07973e-05,0.000549804,0,-0.000549804
Archaeoglobus veneficus,2,2,+0,0.000121595,0,-0.000121595,0.00109961,0,-0.00109961
Arthrobacter sp. PAMC 25486,7,7,+0,0.000425581,0,-0.000425581,0.00384863,0,-0.00384863
Aurantiacibacter atlanticus,46,45,-1,0.00279667,0,-0.00279667,0.025291,0.02,-0.005291
Aurantiacibacter gangjinensis,41,41,+0,0.00249269,0,-0.00249269,0.022542,0.02,-0.002542
Bacillus infantis,246,244,-2,0.0149561,0.01,-0.0049561,0.135252,0.13,-0.005252
Bacillus safensis,306,302,-4,0.018604,0.02,+0.001396,0.16824,0.17,+0.00176
Bacillus sp. Pc3,119,112,-7,0.00723487,0.01,+0.00276513,0.0654267,0.06,-0.0054267
Bacillus velezensis,124,129,+5,0.00753886,0.01,+0.00246114,0.0681757,0.07,+0.0018243
Bacillus weihaiensis,13,8,-5,0.000790364,0,-0.000790364,0.00714745,0,-0.00714745
Bdellovibrio bacteriovorus,146,146,+0,0.0088764,0.01,+0.0011236,0.0802714,0.08,-0.0002714
Belliella baltica,5,6,+1,0.000303986,0,-0.000303986,0.00274902,0,-0.00274902
Bernardetia litoralis,155,159,+4,0.00942358,0.01,+0.00057642,0.0852196,0.09,+0.0047804
Brucella ceti,73,65,-8,0.0044382,0,-0.0044382,0.0401357,0.04,-0.0001357
Brucella pinnipedialis,36,49,+13,0.0021887,0,-0.0021887,0.0197929,0.03,+0.0102071
Brucella sp. 141012304,30,27,-3,0.00182392,0,-0.00182392,0.0164941,0.01,-0.0064941
Brumicola nitratireducens,188,185,-3,0.0114299,0.01,-0.0014299,0.103363,0.1,-0.003363
Caldithrix abyssi,2,2,+0,0.000121595,0,-0.000121595,0.00109961,0,-0.00109961
Campylobacter lari,7,15,+8,0.000425581,0,-0.000425581,0.00384863,0.01,+0.00615137
Campylobacter peloridis,29,30,+1,0.00176312,0,-0.00176312,0.0159443,0.02,+0.0040557
Candidatus Aciduliprofundum boonei,120,120,+0,0.00729567,0.01,+0.00270433,0.0659765,0.07,+0.0040235
Candidatus Aquiluna sp. UB-MaderosW2red,103,103,+0,0.00626212,0.01,+0.00373788,0.0566298,0.06,+0.0033702
Candidatus Atelocyanobacterium thalassae,187,186,-1,0.0113691,0.01,-0.0013691,0.102813,0.1,-0.002813
Candidatus Cenarchaeum symbiosum,25,25,+0,0.00151993,0,-0.00151993,0.0137451,0.01,-0.0037451
Candidatus Endolissoclinum faulkneri,2406,2403,-3,0.146278,0.15,+0.003722,1.32283,1.32,-0.00283
Candidatus Filomicrobium marinum,195,196,+1,0.0118555,0.01,-0.0018555,0.107212,0.11,+0.002788
Candidatus Francisella endociliophora,3,1,-2,0.000182392,0,-0.000182392,0.00164941,0,-0.00164941
Candidatus Izimoplasma sp. HR1,49,49,+0,0.00297907,0,-0.00297907,0.0269404,0.03,+0.0030596
Candidatus Nitrosopumilus koreensis,19,19,+0,0.00115515,0,-0.00115515,0.0104463,0.01,-0.0004463
Candidatus Nitrosopumilus sediminis,247,248,+1,0.0150169,0.02,+0.0049831,0.135802,0.14,+0.004198
Candidatus Pelagibacter communis,3,1,-2,0.000182392,0,-0.000182392,0.00164941,0,-0.00164941
Candidatus Pelagibacter sp. IMCC9063,1,1,+0,6.07973e-05,0,-6.07973e-05,0.000549804,0,-0.000549804
Candidatus Pseudothioglobus singularis,51,52,+1,0.00310066,0,-0.00310066,0.02804,0.03,+0.00196
Candidatus Puniceispirillum marinum,1,1,+0,6.07973e-05,0,-6.07973e-05,0.000549804,0,-0.000549804
Candidatus Thioglobus autotrophicus,2,2,+0,0.000121595,0,-0.000121595,0.00109961,0,-0.00109961
Candidatus Vesicomyidisocius calyptogenae,3,2,-1,0.000182392,0,-0.000182392,0.00164941,0,-0.00164941
Carnobacterium sp. 17-4,5,4,-1,0.000303986,0,-0.000303986,0.00274902,0,-0.00274902
Celeribacter indicus,18,23,+5,0.00109435,0,-0.00109435,0.00989647,0.01,+0.00010353
Celeribacter marinus,73,71,-2,0.0044382,0,-0.0044382,0.0401357,0.04,-0.0001357
Cellulophaga algicola,5,3,-2,0.000303986,0,-0.000303986,0.00274902,0,-0.00274902
Cellulophaga baltica,48,49,+1,0.00291827,0,-0.00291827,0.0263906,0.03,+0.0036094
Cellulophaga lytica,26,29,+3,0.00158073,0,-0.00158073,0.0142949,0.02,+0.0057051
Cereibacter sphaeroides,321,319,-2,0.0195159,0.02,+0.0004841,0.176487,0.18,+0.003513
Chlorobium phaeobacteroides,4,4,+0,0.000243189,0,-0.000243189,0.00219922,0,-0.00219922
Chlorobium phaeovibrioides,73,72,-1,0.0044382,0,-0.0044382,0.0401357,0.04,-0.0001357
Chloroherpeton thalassium,1177,1178,+1,0.0715584,0.07,-0.0015584,0.647119,0.65,+0.002881
Christiangramia forsetii,131,125,-6,0.00796444,0.01,+0.00203556,0.0720243,0.07,-0.0020243
Christiangramia salexigens,3,5,+2,0.000182392,0,-0.000182392,0.00164941,0,-0.00164941
Chromohalobacter israelensis,16,14,-2,0.000972756,0,-0.000972756,0.00879686,0.01,+0.00120314
Citromicrobium sp. JL477,89,86,-3,0.00541096,0.01,+0.00458904,0.0489326,0.05,+0.0010674
Clostridium botulinum,1389,1387,-2,0.0844474,0.08,-0.0044474,0.763678,0.76,-0.003678
Colwellia psychrerythraea,807,809,+2,0.0490634,0.05,+0.0009366,0.443692,0.44,-0.003692
Colwellia sp. MT41,93,93,+0,0.00565415,0.01,+0.00434585,0.0511318,0.05,-0.0011318
Colwellia sp. PAMC 20917,13,10,-3,0.000790364,0,-0.000790364,0.00714745,0.01,+0.00285255
Coraliomargarita akajimensis,1,1,+0,6.07973e-05,0,-6.07973e-05,0.000549804,0,-0.000549804
Corallococcus macrosporus,6,7,+1,0.000364784,0,-0.000364784,0.00329882,0,-0.00329882
Corynebacterium marinum,10,12,+2,0.000607973,0,-0.000607973,0.00549804,0.01,+0.00450196
Corynebacterium maris,5,7,+2,0.000303986,0,-0.000303986,0.00274902,0,-0.00274902
Corynebacterium phocae,207,210,+3,0.012585,0.01,-0.002585,0.113809,0.12,+0.006191
Corynebacterium sphenisci,37,34,-3,0.0022495,0,-0.0022495,0.0203427,0.02,-0.0003427
Corynebacterium stationis,5,3,-2,0.000303986,0,-0.000303986,0.00274902,0,-0.00274902
Croceibacter atlanticus,2,1,-1,0.000121595,0,-0.000121595,0.00109961,0,-0.00109961
Croceibacterium atlanticum,13,13,+0,0.000790364,0,-0.000790364,0.00714745,0.01,+0.00285255
Croceicoccus naphthovorans,62,58,-4,0.00376943,0,-0.00376943,0.0340878,0.03,-0.0040878
