Name,Count (SRR7499264_abundance_jn05),Count (SRR7499264_light_abundance_jn00),Count (diff),Proportion_All(%) (SRR7499264_abundance_jn05),Proportion_All(%) (SRR7499264_light_abundance_jn00),Proportion_All(%) (diff),Proportion_Classified(%) (SRR7499264_abundance_jn05),Proportion_Classified(%) (SRR7499264_light_abundance_jn00),Proportion_Classified(%) (diff)
Acinetobacter baumannii,139,168,+29,0.0193038,0.0233312,+0.0040274,0.339629,0.409207,+0.069578
Clostridium tetani,61,93,+32,0.00847143,0.0129155,+0.00444407,0.149046,0.226525,+0.077479
Coccidioides immitis,15305,15510,+205,2.1255,2.15397,+0.02847,37.3959,37.7786,+0.3827
Enterobacter cloacae,187,180,-7,0.0259698,0.0249977,-0.0009721,0.456911,0.438436,-0.018475
Escherichia coli,574,650,+76,0.0797148,0.0902694,+0.0105546,1.4025,1.58324,+0.18074
Giardia intestinalis,20,32,+12,0.00277752,0.00444403,+0.00166651,0.0488675,0.0779442,+0.0290767
Haemophilus influenzae,193,144,-49,0.0268031,0.0199981,-0.006805,0.471571,0.350749,-0.120822
Helicobacter pylori,36,29,-7,0.00499953,0.0040274,-0.00097213,0.0879615,0.070637,-0.0173245
Listeria monocytogenes,103,104,+1,0.0143042,0.0144431,+0.0001389,0.251668,0.253319,+0.001651
Moraxella catarrhalis,145,95,-50,0.020137,0.0131932,-0.0069438,0.354289,0.231397,-0.122892
Mycobacterium tuberculosis,910,927,+17,0.126377,0.128738,+0.002361,2.22347,2.25795,+0.03448
Orientia tsutsugamushi,13,12,-1,0.00180539,0.00166651,-0.00013888,0.0317639,0.0292291,-0.0025348
Plasmodium falciparum,22367,22291,-76,3.10624,3.09568,-0.01056,54.651,54.2955,-0.3555
Pseudomonas aeruginosa,307,334,+27,0.0426349,0.0463846,+0.0037497,0.750116,0.813543,+0.063427
Salmonella enterica,224,174,-50,0.0311082,0.0241644,-0.0069438,0.547316,0.423822,-0.123494
Staphylococcus aureus,50,85,+35,0.0069438,0.0118045,+0.0048607,0.122169,0.207039,+0.08487
Streptococcus pneumoniae,15,12,-3,0.00208314,0.00166651,-0.00041663,0.0366506,0.0292291,-0.0074215
UNKNOWN,679140,679012,-128,94.3162,94.2984,-0.0178,-,-,N/A
Vibrio cholerae,278,215,-63,0.0386075,0.0298583,-0.0087492,0.679258,0.523688,-0.15557
